scaled_features,Department_index,JobRole_index,Gender_index,OverTime_index,left_company
"[0.5476190476190476,0.26245392311743027,1.0,0.0,0.0,0.15000000000000002]",1,0,1,1,1
"[0.738095238095238,0.21700895208004214,0.3333333333333333,1.0,0.6666666666666666,0.25]",0,1,0,0,0
"[0.45238095238095233,0.0569246972090574,0.6666666666666666,0.0,0.6666666666666666,0.0]",0,2,0,1,1
"[0.3571428571428571,0.10005265929436546,0.6666666666666666,0.0,0.6666666666666666,0.2]",0,1,1,1,0
"[0.21428571428571427,0.1294892048446551,0.3333333333333333,0.0,0.6666666666666666,0.05]",0,2,0,0,0
"[0.3333333333333333,0.10842548709847288,1.0,0.0,0.3333333333333333,0.17500000000000002]",0,2,0,0,0
"[0.9761904761904762,0.08746708794102159,0.0,1.0,0.3333333333333333,0.025]",0,2,1,1,0
"[0.2857142857142857,0.08867825171142707,0.6666666666666666,1.0,0.6666666666666666,0.025]",0,2,0,0,0
"[0.47619047619047616,0.4484992101105845,0.6666666666666666,1.0,0.6666666666666666,0.225]",0,3,0,0,0
"[0.42857142857142855,0.22264349657714588,0.6666666666666666,0.0,0.3333333333333333,0.17500000000000002]",0,4,0,0,0
"[0.40476190476190477,0.07461822011585045,0.3333333333333333,0.0,0.6666666666666666,0.125]",0,2,0,0,0
"[0.26190476190476186,0.16766719325961033,0.6666666666666666,0.0,0.6666666666666666,0.225]",0,2,1,1,0
"[0.30952380952380953,0.10015797788309637,0.6666666666666666,0.0,0.3333333333333333,0.125]",0,1,0,0,0
"[0.38095238095238093,0.08699315429173249,1.0,0.0,0.6666666666666666,0.05]",0,2,0,0,0
"[0.23809523809523808,0.05365982095839916,0.6666666666666666,0.0,0.6666666666666666,0.1]",0,2,0,1,1
"[0.26190476190476186,0.47240652975250136,0.0,0.0,0.6666666666666666,0.25]",0,3,1,0,0
"[0.3333333333333333,0.12053712480252765,0.3333333333333333,0.0,0.3333333333333333,0.15000000000000002]",0,1,0,1,0
"[0.09523809523809523,0.1014218009478673,1.0,0.0,0.3333333333333333,0.025]",0,2,0,1,0
"[0.8333333333333333,0.7592417061611375,1.0,0.0,0.6666666666666666,0.625]",1,5,1,0,0
"[0.47619047619047616,0.15455502896261192,1.0,0.0,0.6666666666666666,0.07500000000000001]",0,1,0,1,0
"[0.14285714285714285,0.15808320168509743,0.6666666666666666,0.0,0.3333333333333333,0.1]",0,3,1,0,0
"[0.42857142857142855,0.1262769878883623,0.0,1.0,0.6666666666666666,0.125]",1,6,0,0,1
"[0.38095238095238093,0.5784623486045287,0.3333333333333333,0.0,0.6666666666666666,0.30000000000000004]",0,7,1,0,0
"[0.07142857142857142,0.011743022643496578,1.0,0.0,0.6666666666666666,0.0]",0,1,0,0,0
"[0.38095238095238093,0.10273828330700369,0.0,0.0,0.6666666666666666,0.1]",0,1,0,0,1
"[0.8333333333333333,0.9523433385992628,0.6666666666666666,0.0,0.3333333333333333,0.35000000000000003]",0,5,1,0,0
"[0.3333333333333333,0.15323854660347552,0.0,1.0,0.6666666666666666,0.25]",0,1,1,1,1
"[0.5714285714285714,0.3062664560294892,0.3333333333333333,0.0,0.6666666666666666,0.225]",1,0,0,0,0
"[0.6190476190476191,0.4865192206424434,1.0,0.0,0.6666666666666666,0.55]",0,4,1,0,0
"[0.6666666666666666,0.9446024223275409,0.0,0.0,0.3333333333333333,0.05]",1,5,1,0,0
"[0.3571428571428571,0.07830437072143234,1.0,0.0,0.6666666666666666,0.025]",0,2,0,0,0
"[0.6190476190476191,0.28730911005792525,1.0,0.0,1.0,0.1]",0,4,0,1,0
"[0.2857142857142857,0.06303317535545024,0.6666666666666666,0.0,0.6666666666666666,0.25]",0,2,0,0,0
"[0.5,0.05671406003159558,1.0,0.0,1.0,0.025]",1,6,0,0,1
"[0.14285714285714285,0.06761453396524487,1.0,0.0,0.3333333333333333,0.05]",0,1,0,1,1
"[0.5952380952380952,0.08615060558188521,0.6666666666666666,0.0,0.3333333333333333,0.125]",0,1,1,0,0
"[0.7619047619047619,0.08815165876777252,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",1,6,0,1,1
"[0.40476190476190477,0.05292259083728278,1.0,0.0,0.6666666666666666,0.05]",1,6,1,0,0
"[0.42857142857142855,0.12690889942074776,0.0,0.0,1.0,0.025]",0,1,1,1,0
"[0.3571428571428571,0.2299631384939442,0.0,0.0,0.6666666666666666,0.125]",1,0,1,0,0
"[0.40476190476190477,0.04960505529225909,1.0,0.0,0.6666666666666666,0.025]",0,2,0,0,0
"[0.21428571428571427,0.07014218009478673,0.0,0.0,0.6666666666666666,0.025]",0,2,1,0,0
"[0.19047619047619047,0.06761453396524487,0.6666666666666666,0.0,0.3333333333333333,0.025]",0,2,0,0,1
"[0.21428571428571427,0.40637177461822016,0.6666666666666666,0.0,0.6666666666666666,0.225]",1,0,0,0,0
"[0.2857142857142857,0.15808320168509743,1.0,1.0,0.6666666666666666,0.30000000000000004]",0,2,1,0,0
"[0.5476190476190476,0.9760926803580833,0.6666666666666666,0.0,0.6666666666666666,0.55]",0,7,1,0,1
"[0.38095238095238093,0.18741442864665614,0.6666666666666666,1.0,0.6666666666666666,0.225]",1,0,0,0,0
"[0.45238095238095233,0.10600315955766193,0.3333333333333333,1.0,0.6666666666666666,0.025]",0,1,0,0,0
"[0.6666666666666666,0.25081621906266455,1.0,1.0,0.6666666666666666,0.225]",1,0,0,1,0
"[0.40476190476190477,0.06635071090047394,1.0,0.0,0.6666666666666666,0.025]",0,2,0,0,0
"[0.7142857142857142,0.23022643496577147,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,2,0,1,1
